,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ALKBH7,3.70052835564948e-12,0.277523156568585,0.927,0.753,7.25747621109977e-08,2,ALKBH7
AC007906.2,4.63759140125824e-12,1.42708553704371,0.437,0.264,9.09524425614766e-08,2,AC007906.2
SLC25A25,5.64038171900052e-12,1.38019725023255,0.336,0.164,1.10619166273038e-07,2,SLC25A25
NEDD9,7.54067396783272e-12,1.39177774843176,0.325,0.156,1.47887697857135e-07,2,NEDD9
LDLR,7.96371598095227e-12,0.393868178373879,0.822,0.635,1.56184397818436e-07,2,LDLR
TRAPPC6A,7.99660391296582e-12,0.368198174218086,0.85,0.651,1.56829395941086e-07,2,TRAPPC6A
NCCRP1,9.33617360081687e-12,0.859486536666002,0.559,0.381,1.83101036659221e-07,2,NCCRP1
CX3CL1,1.02162274054577e-11,0.633087528672799,0.472,0.288,2.00360651875836e-07,2,CX3CL1
KIT,1.04556986864962e-11,0.571085538395703,0.591,0.403,2.05057162639563e-07,2,KIT
CCNL1,1.32392800289661e-11,0.56612288564952,0.738,0.577,2.59648759928082e-07,2,CCNL1
ZG16B,1.34853430744724e-11,0.503400308873379,1,0.99,2.64474548376552e-07,2,ZG16B
MAGI3,1.43999587790116e-11,0.886570733883834,0.58,0.416,2.82411991573976e-07,2,MAGI3
PIP,1.44092563107989e-11,0.594937163270151,0.357,0.179,2.82594334767387e-07,2,PIP
HCG181,1.44628327820812e-11,0.338908945764499,0.885,0.7,2.83645076522177e-07,2,HCG18
C11orf741,1.64509242171044e-11,0.570865667589256,0.755,0.559,3.22635525745851e-07,2,C11orf74
ARRDC3,1.82714762705781e-11,0.529125411924035,0.643,0.451,3.58340192618578e-07,2,ARRDC3
XBP1,2.02925140353071e-11,0.391394391355624,0.955,0.76,3.97976785260442e-07,2,XBP1
ZFP36L2,2.16546029406551e-11,0.393484869102586,0.972,0.788,4.24690072872127e-07,2,ZFP36L2
RUFY3,2.37885114524643e-11,0.373740730037694,0.78,0.6,4.6654028660573e-07,2,RUFY3
TMEM63A1,3.25758454054603e-11,0.412391814300563,0.874,0.706,6.38877480091887e-07,2,TMEM63A
KLF5,4.64839150670637e-11,1.02498036723709,0.423,0.258,9.11642542295253e-07,2,KLF5
IER5L,5.52004061571609e-11,0.336997353762466,0.913,0.727,1.08259036555424e-06,2,IER5L
NECTIN4,5.86356740846693e-11,0.346869294675546,0.881,0.7,1.14996284014853e-06,2,NECTIN4
NOXO1,7.9142924050963e-11,0.702133326151618,0.528,0.362,1.55215102648749e-06,2,NOXO1
FTX,8.9472918047763e-11,0.286102472280541,0.822,0.632,1.75474286875273e-06,2,FTX
COBL,9.58849031075909e-11,0.256303353281479,0.93,0.734,1.88049471974607e-06,2,COBL
ARFGAP21,1.04388434423717e-10,0.389590228301935,0.839,0.66,2.04726597591793e-06,2,ARFGAP2
SNHG31,1.45725546248949e-10,0.331859844643338,0.822,0.63,2.85796941303438e-06,2,SNHG3
MT-CO22,1.49170117320513e-10,0.292421016834682,1,0.992,2.9255243408899e-06,2,MT-CO2
CTNND1,1.55760181051925e-10,0.54092551268616,0.65,0.476,3.05476867079036e-06,2,CTNND1
ITGB8,1.71916561652408e-10,0.375115750242317,0.836,0.658,3.37162760712703e-06,2,ITGB8
MALAT1,1.92059340840589e-10,0.405486996552269,0.997,0.92,3.76666779256563e-06,2,MALAT1
ETHE1,2.67627337006185e-10,0.297486521906502,0.86,0.679,5.2487073333653e-06,2,ETHE1
MT-ND5,2.6769838872688e-10,0.320924964835066,0.983,0.857,5.25010079971157e-06,2,MT-ND5
MT-ATP8,2.70377054896361e-10,0.304811325810468,0.976,0.786,5.30263480062743e-06,2,MT-ATP8
BARX2,3.63453721898441e-10,0.315438853855253,0.497,0.324,7.12805439387222e-06,2,BARX2
LINC00342,4.45670920583871e-10,0.961680753743421,0.626,0.466,8.74049809449089e-06,2,LINC00342
LALBA,5.58754628661265e-10,1.0294179269377,0.874,0.718,1.09582957773047e-05,2,LALBA
