,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RRS1,1.24775326984752e-40,0.487559155903581,0.841,0.456,2.44709371282495e-36,0,RRS1
DCTPP1,3.14978384236496e-38,0.358562044950707,0.995,0.744,6.17735607164617e-34,0,DCTPP1
HMOX2,7.35695626166218e-37,0.432494305933619,0.97,0.702,1.44284626203719e-32,0,HMOX2
EBNA1BP2,3.66263271559206e-36,0.36065319094776,0.997,0.741,7.18315528181914e-32,0,EBNA1BP2
TOMM40,9.34802277514608e-36,0.397867309841142,0.954,0.632,1.83333422666165e-31,0,TOMM40
NUDT16L1,2.00073177646946e-35,0.553302042332538,0.898,0.582,3.92383516001191e-31,0,NUDT16L1
RPN2,2.70742137225253e-35,0.398955424273843,0.992,0.76,5.30979479526167e-31,0,RPN2
ATP6AP2,3.92197246624491e-35,0.535997108782706,0.978,0.726,7.69177240079953e-31,0,ATP6AP2
NOP58,4.30456927812488e-35,0.506615542343487,0.962,0.677,8.44212126825851e-31,0,NOP58
CNPY2,4.78072738125955e-35,0.479117606843957,0.995,0.77,9.37596254012623e-31,0,CNPY2
PNP,1.56473445465961e-34,0.651766174756292,0.919,0.639,3.06875721247843e-30,0,PNP
EXOSC4,2.59313511681935e-34,0.526233986920911,0.949,0.705,5.08565659110612e-30,0,EXOSC4
GPATCH4,2.6092658302108e-34,0.267742470264188,0.96,0.676,5.11729214620941e-30,0,GPATCH4
ATP6V0E2,2.9189891182968e-34,0.71816185088403,0.949,0.659,5.72472145880369e-30,0,ATP6V0E2
PAK1IP1,3.22834408502994e-34,0.472577078969136,0.962,0.67,6.33142841956073e-30,0,PAK1IP1
NFASC,6.86424677625663e-34,0.839558016678184,0.906,0.586,1.34621607775945e-29,0,NFASC
ZNF593,8.83691128113643e-34,0.449251343889768,0.987,0.744,1.73309504045648e-29,0,ZNF593
ADORA1,1.8121311340369e-33,0.581946136404313,0.873,0.567,3.55395158007316e-29,0,ADORA1
DCAF13,3.50910219012122e-33,0.360160498958877,0.984,0.698,6.88205121526574e-29,0,DCAF13
NDUFC2,1.44567494387032e-32,0.340978924792561,0.992,0.822,2.83525769991846e-28,0,NDUFC2
HACD3,1.75081795156298e-32,0.588164011690185,0.973,0.686,3.43370416660531e-28,0,HACD3
TRPS1,1.79053235382676e-32,0.642199319003137,0.981,0.733,3.51159205232503e-28,0,TRPS1
PDIA3,2.005762011317e-32,0.420806435349436,0.992,0.773,3.93370045659489e-28,0,PDIA3
KCNN4,2.57817087141084e-32,0.549027220114498,0.965,0.704,5.05630871301095e-28,0,KCNN4
NR2C2AP,4.04831954654226e-32,0.621396035473528,0.857,0.558,7.93956429467868e-28,0,NR2C2AP
EIF6,6.14718281130725e-32,0.407459024033618,0.995,0.786,1.20558549295358e-27,0,EIF6
ARHGEF9,6.86321697441511e-32,0.689750790632288,0.914,0.606,1.34601411302229e-27,0,ARHGEF9
NFIA,1.47819142467849e-31,0.716492553101935,0.889,0.593,2.89902902207946e-27,0,NFIA
SDAD1,3.79475441757935e-31,0.59164831353109,0.9,0.596,7.44227236375662e-27,0,SDAD1
NDUFAF4,4.50895980292831e-31,0.460138633978096,0.916,0.626,8.842971965503e-27,0,NDUFAF4
KNOP1,4.71308939628755e-31,0.401080244945036,0.973,0.7,9.24331092399915e-27,0,KNOP1
NOP16,6.81343086221664e-31,0.600179987892399,0.819,0.499,1.33625006069793e-26,0,NOP16
FOXI1,1.16895930588858e-30,0.30830494485138,0.968,0.684,2.29256299070868e-26,0,FOXI1
SNX17,1.81574040777446e-30,0.651363986433757,0.938,0.657,3.56103008772727e-26,0,SNX17
PPIB,2.62877396117824e-30,0.383891494114835,0.997,0.825,5.15555149266276e-26,0,PPIB
IMP3,3.54562410367518e-30,0.265316319133615,0.962,0.687,6.95367799212776e-26,0,IMP3
DANCR,4.22707372425721e-30,0.459478006646618,0.997,0.808,8.29013698801324e-26,0,DANCR
RAB5IF,8.61614818498792e-30,0.272705717783451,1,0.819,1.68979898203983e-25,0,RAB5IF
E2F1,1.34684417623513e-29,0.590394725099834,0.825,0.521,2.64143079843233e-25,0,E2F1
NIFK,1.40019830100028e-29,0.399667531946211,0.968,0.735,2.74606890792175e-25,0,NIFK
NES,1.90526466171503e-29,0.317245264715639,0.987,0.774,3.73660505455552e-25,0,NES
REEP5,2.00302394573739e-29,0.383401804586861,0.989,0.758,3.92833056238018e-25,0,REEP5
AKR1C2,2.15743378420667e-29,0.599125559750076,0.787,0.462,4.23115913758612e-25,0,AKR1C2
TXLNG,3.49675474875516e-29,0.364935615973487,0.946,0.679,6.85783541325861e-25,0,TXLNG
TOP1,4.25214498738807e-29,0.26360226851954,0.992,0.791,8.33930674926547e-25,0,TOP1
C20orf27,4.46081495443039e-29,0.379395564081041,0.984,0.724,8.74855028862888e-25,0,C20orf27
ADI1,4.61843973741558e-29,0.253080175552914,0.992,0.738,9.05768401301943e-25,0,ADI1
MTX1,8.89016961349928e-29,0.340108999040511,1,0.783,1.74354006459948e-24,0,MTX1
MAGEF1,1.28673441683234e-28,0.41699388842793,0.922,0.655,2.52354353829159e-24,0,MAGEF1
EPCAM,1.60823239959596e-28,0.289978882523011,0.997,0.846,3.15406538208759e-24,0,EPCAM
MAGED2,1.91424564389211e-28,0.384000475643419,0.992,0.759,3.7542185568012e-24,0,MAGED2
SRM,3.33718888095566e-28,0.349144325130461,0.992,0.774,6.54489483333024e-24,0,SRM
LINC00665,3.51870813186294e-28,0.560607357048525,0.951,0.664,6.9008903882096e-24,0,LINC00665
LMAN2,5.47985704099687e-28,0.309638587791467,0.989,0.74,1.07470956288031e-23,0,LMAN2
TSC22D3,5.5598228988168e-28,0.391238545264715,0.933,0.674,1.09039246691595e-23,0,TSC22D3
TRMT10C,6.67554994264095e-28,0.560411496348754,0.914,0.641,1.30920885475074e-23,0,TRMT10C
QSOX1,8.25359777450728e-28,0.357832479881027,0.978,0.732,1.61869559553637e-23,0,QSOX1
EEF1E1,1.16757894602856e-27,0.457971821281026,0.946,0.679,2.28985582895121e-23,0,EEF1E1
PSMC4,1.40117580093248e-27,0.27322046992162,0.943,0.686,2.74798598078879e-23,0,PSMC4
PDRG1,1.60083067372279e-27,0.258194134009878,0.922,0.634,3.13954911730513e-23,0,PDRG1
CYB5R1,2.18752892787345e-27,0.548665793845977,0.889,0.616,4.29018173334541e-23,0,CYB5R1
PSEN2,3.35241316489075e-27,1.00545139825057,0.682,0.383,6.57475269898374e-23,0,PSEN2
SLC39A1,3.44236737274378e-27,0.298623740906858,0.954,0.7,6.75117089142511e-23,0,SLC39A1
SPINT2,3.93897352173556e-27,0.328995278444199,0.995,0.788,7.72511487082777e-23,0,SPINT2
TBRG4,4.47805111237267e-27,0.265489374489531,0.946,0.699,8.78235384158528e-23,0,TBRG4
RBPMS,4.69989143592882e-27,0.49486213658702,0.93,0.648,9.2174270841436e-23,0,RBPMS
CADM1,6.28210834185499e-27,0.475746720031146,0.911,0.645,1.2320470880046e-22,0,CADM1
COX16,8.95766587504541e-27,0.337285156597331,0.935,0.687,1.75677743141391e-22,0,COX16
OAZ3,1.06836965585931e-26,0.289638809642177,0.895,0.606,2.09528656907129e-22,0,OAZ3
ITGA6,1.18629595356785e-26,0.5498655193496,0.922,0.628,2.32656362413727e-22,0,ITGA6
HSP90B1,1.44049250256316e-26,0.341855837194295,0.989,0.795,2.82509389602686e-22,0,HSP90B1
RPS19BP1,1.49320482999577e-26,0.283664839937043,0.995,0.783,2.9284733125877e-22,0,RPS19BP1
TKT,1.6327399892325e-26,0.297733700493281,1,0.823,3.20212966688278e-22,0,TKT
GTPBP4,1.92472749553983e-26,0.415208299139281,0.989,0.77,3.77477556425272e-22,0,GTPBP4
PMPCA,1.95781841846474e-26,0.535534106232562,0.833,0.527,3.83967348229305e-22,0,PMPCA
TIMM13,1.97544311417618e-26,0.251781049422468,1,0.818,3.87423903552233e-22,0,TIMM13
MCM5,2.67053131058983e-26,0.503076865212164,0.698,0.363,5.23744600632877e-22,0,MCM5
TIMM17B,2.67838227348698e-26,0.391923366996685,0.981,0.733,5.25284331476267e-22,0,TIMM17B
ATOX1,4.04627084495364e-26,0.281591904414777,1,0.811,7.93554638112308e-22,0,ATOX1
GSTP1,5.44178060945094e-26,0.497878775086267,1,0.835,1.06724201312552e-21,0,GSTP1
BUD23,5.50664566426118e-26,0.280437827009636,0.997,0.785,1.0799633476749e-21,0,BUD23
DDOST,6.92703501192536e-26,0.288701003860336,0.992,0.739,1.3585301065388e-21,0,DDOST
SORBS2,8.74172847365811e-26,0.541766688263978,0.951,0.662,1.71442778825383e-21,0,SORBS2
SLC25A39,9.86866023965631e-26,0.33633043192234,0.981,0.737,1.93544164620139e-21,0,SLC25A39
EEF1AKMT4,1.0770585359038e-25,0.532213979840893,0.803,0.52,2.11232720061452e-21,0,EEF1AKMT4
C1orf35,1.24238397650179e-25,0.334869287133079,0.984,0.729,2.43656345471531e-21,0,C1orf35
JMJD4,1.33139982050261e-25,0.283714742906455,0.868,0.577,2.61114132796972e-21,0,JMJD4
FAM104B,1.54488923025404e-25,0.688171515737455,0.787,0.489,3.02983675837421e-21,0,FAM104B
CIAPIN1,2.48916104675119e-25,0.41444328253609,0.854,0.572,4.88174264488843e-21,0,CIAPIN1
NME1,2.51871325740154e-25,0.260171217391499,1,0.83,4.93970044041589e-21,0,NME1
DDX56,2.59896277384913e-25,0.334896351797993,0.938,0.655,5.09708579207291e-21,0,DDX56
NHP2,2.60908127763433e-25,0.295594144253351,0.997,0.804,5.11693020169645e-21,0,NHP2
CLPSL1,2.85092977598814e-25,0.837748160016516,0.687,0.404,5.59124347666795e-21,0,CLPSL1
PINX1,3.33673221327966e-25,0.728579209418781,0.73,0.415,6.54399921668406e-21,0,PINX1
CCDC85B,8.18410205998018e-25,0.315022554495768,0.995,0.785,1.60506609600331e-20,0,CCDC85B
NPM3,9.01589628812382e-25,0.310281004261451,0.968,0.717,1.76819758002684e-20,0,NPM3
RDH14,1.18659756516453e-24,0.366084360155716,0.871,0.615,2.32715514480068e-20,0,RDH14
CD5L,1.34761870140905e-24,0.951300082115759,0.679,0.384,2.64294979720343e-20,0,CD5L
LAMTOR1,1.73203370550141e-24,0.272975526268148,0.97,0.729,3.39686450322936e-20,0,LAMTOR1
TRAPPC4,2.00783275001336e-24,0.253289807711155,0.949,0.69,3.93776158932621e-20,0,TRAPPC4
TMX4,2.09880203166431e-24,0.404034827274422,0.976,0.727,4.11617054450005e-20,0,TMX4
PYCR1,2.61918521303308e-24,0.398094772294824,0.938,0.695,5.13674603980048e-20,0,PYCR1
UQCRFS1,2.66304077452804e-24,0.273477930540383,0.973,0.751,5.22275556700439e-20,0,UQCRFS1
SLC35C2,2.81274862903061e-24,0.660046142418547,0.871,0.589,5.51636261125482e-20,0,SLC35C2
MRPS9,2.93827387457436e-24,0.307850137561541,0.927,0.65,5.76254272281524e-20,0,MRPS9
MRPL50,2.94424100785771e-24,0.363886935603827,0.841,0.562,5.77424546461055e-20,0,MRPL50
MIR205HG,2.94766433391183e-24,0.45085501657978,0.973,0.735,5.78095929166788e-20,0,MIR205HG
ZMYND19,3.00288247108491e-24,0.40774559397262,0.825,0.537,5.88925310229173e-20,0,ZMYND19
CITED4,3.1389159029205e-24,0.368250879182098,1,0.808,6.15604186880768e-20,0,CITED4
CEBPZ,3.55923161785808e-24,0.257262663902422,0.96,0.685,6.98036504894327e-20,0,CEBPZ
ATP5PB,3.97694388611417e-24,0.297552595346537,0.987,0.778,7.79958234944711e-20,0,ATP5PB
MRPS23,4.19576409786026e-24,0.34606848908641,0.962,0.713,8.22873254872353e-20,0,MRPS23
DCTN3,4.76602698045737e-24,0.253813326131127,0.984,0.751,9.34713211407299e-20,0,DCTN3
NXT1,6.32812659571008e-24,0.31817911244472,0.895,0.619,1.24107218795066e-19,0,NXT1
TGS1,7.4979511075709e-24,0.377927934695989,0.814,0.52,1.47049817121681e-19,0,TGS1
BCAP31,9.04360631489161e-24,0.312440770637124,1,0.804,1.77363207047654e-19,0,BCAP31
ARPC4,1.05043105341243e-23,0.443395932447437,0.852,0.575,2.06010538195246e-19,0,ARPC4
RCN2,1.17704463845475e-23,0.402866592910578,0.927,0.664,2.30841994493746e-19,0,RCN2
TIMM8A,1.3840014745582e-23,0.300937750815026,0.914,0.648,2.71430369190354e-19,0,TIMM8A
BSG,1.38834024553692e-23,0.266331336283427,0.989,0.789,2.722812889547e-19,0,BSG
C16orf91,1.44959529964431e-23,0.393012058335806,0.838,0.583,2.84294630166242e-19,0,C16orf91
NDUFA9,1.58144229212311e-23,0.525293363175178,0.876,0.585,3.10152462331183e-19,0,NDUFA9
PNO1,1.73779356815825e-23,0.388748585222577,0.809,0.511,3.40816074587196e-19,0,PNO1
AP1M2,1.85263573054661e-23,0.337412981468535,0.935,0.689,3.63338919474801e-19,0,AP1M2
MAFB,2.24886144718595e-23,0.282891780987102,0.849,0.566,4.41046707022109e-19,0,MAFB
TUSC1,2.29091193700139e-23,0.623233681925999,0.873,0.564,4.49293649084714e-19,0,TUSC1
MRPL46,2.51329627182823e-23,0.292767757525242,0.798,0.484,4.92907664830952e-19,0,MRPL46
SQLE,2.8645558400174e-23,0.428867588189273,0.962,0.724,5.61796691344212e-19,0,SQLE
NDUFA12,3.59860095509743e-23,0.295542335102782,0.984,0.76,7.05757619313707e-19,0,NDUFA12
MRPL4,3.77005888456832e-23,0.316907007026677,0.981,0.702,7.39383948441539e-19,0,MRPL4
TACO1,4.05345078183044e-23,0.56670773780929,0.674,0.396,7.94962767332586e-19,0,TACO1
NEMF,4.07728610926433e-23,0.327808358809272,0.911,0.654,7.9963735174892e-19,0,NEMF
ALG3,4.08055617621797e-23,0.523263872651107,0.914,0.671,8.00278677279869e-19,0,ALG3
IDH3B,4.47407693649973e-23,0.341852031460807,0.957,0.721,8.77455968786327e-19,0,IDH3B
DMAC1,4.97767760548454e-23,0.281301286194813,0.995,0.788,9.76222131987628e-19,0,DMAC1
COMMD1,5.78442546352754e-23,0.250152584211119,0.978,0.757,1.13444152190702e-18,0,COMMD1
CDC42SE1,5.88131353097641e-23,0.286478508540005,0.978,0.724,1.15344320969509e-18,0,CDC42SE1
CCDC86,6.99321437765682e-23,0.841508770965613,0.601,0.319,1.37150920374605e-18,0,CCDC86
SDF2L1,7.45367287577629e-23,0.337854765623339,0.96,0.702,1.46181432439725e-18,0,SDF2L1
JPX,8.48162621853349e-23,0.295258207669346,0.96,0.714,1.66341653397879e-18,0,JPX
DHRS7,8.55770893374176e-23,0.460955090627323,0.962,0.709,1.67833787608543e-18,0,DHRS7
DKC1,1.06731548983297e-22,0.265806851495125,0.973,0.74,2.09321913866042e-18,0,DKC1
DDX21,1.14138175928647e-22,0.342126832744003,0.976,0.709,2.23847790631262e-18,0,DDX21
TMED10,1.17133124668096e-22,0.283485692288484,0.973,0.753,2.2972148409907e-18,0,TMED10
MRPL28,1.24095970772409e-22,0.269723217298491,0.962,0.727,2.43377017878849e-18,0,MRPL28
NRG1,1.2887247535759e-22,0.598582816787445,0.739,0.452,2.52744698671306e-18,0,NRG1
GNPNAT1,1.61740177921169e-22,0.337835392558232,0.833,0.563,3.17204836938997e-18,0,GNPNAT1
VWA1,1.69061700015477e-22,0.384422342998203,0.714,0.437,3.31563806070353e-18,0,VWA1
CD320,1.69111827155119e-22,0.365162952738511,0.889,0.603,3.31662115416619e-18,0,CD320
ISOC2,1.76731118426189e-22,0.252975022082638,0.962,0.685,3.46605069457442e-18,0,ISOC2
NIP7,1.83422017430991e-22,0.500406231030539,0.852,0.567,3.5972726058566e-18,0,NIP7
TMEM177,1.85982184793883e-22,0.506599335427917,0.757,0.491,3.64748260817763e-18,0,TMEM177
SNHG15,1.89036174261125e-22,0.33288524861159,0.9,0.632,3.70737744960919e-18,0,SNHG15
EID1,1.90111287006591e-22,0.305560687155947,0.978,0.726,3.72846256077327e-18,0,EID1
CCDC124,1.93738782828828e-22,0.261711649394151,0.951,0.69,3.79960500883898e-18,0,CCDC124
ECH1,2.0998660446077e-22,0.331453125821807,0.978,0.724,4.11825728668461e-18,0,ECH1
MLEC,2.10437506526961e-22,0.294946614073891,0.984,0.749,4.12710037800676e-18,0,MLEC
LRPAP1,2.14017261755121e-22,0.429685920612969,0.892,0.624,4.19730653754143e-18,0,LRPAP1
CKMT1A,2.70792541462103e-22,0.296454984341064,0.884,0.635,5.31078332315476e-18,0,CKMT1A
PRSS8,2.79030885597204e-22,0.250483360709852,0.995,0.762,5.47235372833236e-18,0,PRSS8
CFAP298,2.99746788763129e-22,0.267268078710841,0.981,0.747,5.87863402122248e-18,0,CFAP298
TMEM9,4.32686497574174e-22,0.252680869107585,0.997,0.775,8.4858475904247e-18,0,TMEM9
MRPL41,4.53916438051108e-22,0.272673017685372,0.992,0.78,8.90220918305834e-18,0,MRPL41
ATP6V0B,5.24505845964181e-22,0.282155351519826,0.995,0.802,1.02866086510495e-17,0,ATP6V0B
ACTL8,5.53694570814612e-22,0.401259609046384,0.69,0.387,1.08590579228162e-17,0,ACTL8
YIF1A,5.65508773945392e-22,0.296883469041121,0.973,0.75,1.1090758074617e-17,0,YIF1A
ZCCHC17,7.18835578589092e-22,0.343514168921587,0.906,0.657,1.40978033672893e-17,0,ZCCHC17
EPHB3,7.23749605853792e-22,0.297833495706996,0.833,0.554,1.41941772700046e-17,0,EPHB3
BAG1,7.50332561842054e-22,0.287416248896495,0.906,0.633,1.47155222028464e-17,0,BAG1
SWI5,7.96766523531127e-22,0.360475024916637,0.914,0.684,1.56261850594925e-17,0,SWI5
CDK2AP1,9.76031256183826e-22,0.386098270999238,0.997,0.792,1.91419249962772e-17,0,CDK2AP1
THUMPD3,1.0376243677474e-21,0.381036226287223,0.817,0.523,2.03498891002619e-17,0,THUMPD3
ARFRP1,1.10231508011652e-21,0.613644095554697,0.784,0.524,2.16186033512452e-17,0,ARFRP1
AAMP,1.27562031017448e-21,0.259708055555537,0.844,0.563,2.50174655231419e-17,0,AAMP
KRT86,1.39327882861582e-21,0.896023732145291,0.623,0.354,2.73249843868134e-17,0,KRT86
NDUFB9,1.45725808039218e-21,0.310210084996404,0.992,0.778,2.85797454726515e-17,0,NDUFB9
ARMCX3,1.49276018636567e-21,0.302720755734543,0.976,0.731,2.92760127750035e-17,0,ARMCX3
DUSP14,1.51749575716767e-21,0.452447592347412,0.733,0.468,2.97611267895723e-17,0,DUSP14
LDHB,1.71090183485118e-21,0.271045634875864,0.997,0.806,3.35542067851012e-17,0,LDHB
ITGAE,2.2800489720828e-21,0.276924731982792,0.943,0.677,4.47163204404879e-17,0,ITGAE
FEZ2,2.28440127093428e-21,0.523264524394843,0.827,0.559,4.48016777255632e-17,0,FEZ2
CSTF3,2.30193181355732e-21,0.577098007489238,0.798,0.524,4.51454867274861e-17,0,CSTF3
ZSWIM7,2.87663782727833e-21,0.253680113958546,0.906,0.657,5.64166210685826e-17,0,ZSWIM7
GRWD1,2.8985137976358e-21,0.483553533292809,0.682,0.409,5.68456525992332e-17,0,GRWD1
ENG,3.01103271840327e-21,0.95583468943278,0.555,0.296,5.90523736733249e-17,0,ENG
WDR12,3.36029966850708e-21,0.320631175143172,0.741,0.439,6.59021970987609e-17,0,WDR12
EMG1,3.47368293241549e-21,0.287271768990875,0.86,0.601,6.81258696705325e-17,0,EMG1
RBM4,3.49047551104709e-21,0.262047311392906,0.892,0.632,6.84552057226556e-17,0,RBM4
CD3EAP,4.5941216448333e-21,0.617085746787623,0.628,0.361,9.00999136984707e-17,0,CD3EAP
SEPHS2,4.61004703936265e-21,0.371553515139136,0.941,0.653,9.04122425359802e-17,0,SEPHS2
EIF2S1,4.62149197950298e-21,0.436756672658993,0.892,0.642,9.06367007020124e-17,0,EIF2S1
RPUSD1,4.99651690116378e-21,0.454882115427753,0.787,0.499,9.79916894656241e-17,0,RPUSD1
ANKRD16,5.29217752406025e-21,0.538431344527899,0.763,0.487,1.0379018560187e-16,0,ANKRD16
DNTTIP2,5.8694500885326e-21,0.402961362646991,0.984,0.732,1.15111655136301e-16,0,DNTTIP2
PIGT,7.84660964690667e-21,0.36143982161629,0.911,0.66,1.53887708395134e-16,0,PIGT
MSH6,8.20100533980397e-21,0.299703007812021,0.879,0.597,1.60838116724235e-16,0,MSH6
ABT1,9.15678403405345e-21,0.615535210839564,0.817,0.536,1.79582848475856e-16,0,ABT1
PLA2R1,9.33921488384938e-21,0.688432746829615,0.806,0.552,1.83160682302054e-16,0,PLA2R1
GOSR2,1.08644524779725e-20,0.496505530001961,0.701,0.431,2.13073641997996e-16,0,GOSR2
MFGE8,1.17009886349585e-20,0.344327025179731,0.943,0.689,2.29479789108806e-16,0,MFGE8
CCDC167,1.34489783521881e-20,0.25697429336154,0.995,0.77,2.63761363443113e-16,0,CCDC167
RRP1B,1.50573626998725e-20,0.544778447320551,0.9,0.635,2.953049972699e-16,0,RRP1B
RPF2,1.86533821859085e-20,0.385137982509176,0.916,0.66,3.65830131430038e-16,0,RPF2
TRIP6,1.95462995813903e-20,0.35732711518217,0.792,0.532,3.83342027390227e-16,0,TRIP6
WDR43,1.96867275616867e-20,0.33232212233741,0.949,0.725,3.860961009398e-16,0,WDR43
PSMC2,2.32927700794729e-20,0.271739575754276,0.93,0.666,4.56817806798623e-16,0,PSMC2
CTNNB1,2.89898437195191e-20,0.269317965696309,0.768,0.491,5.6854881502721e-16,0,CTNNB1
ZFYVE21,3.51426198519998e-20,0.313067124704822,0.968,0.739,6.8921706053742e-16,0,ZFYVE21
TMEM63A,4.11455396030161e-20,0.553384687763132,0.927,0.67,8.06946322694351e-16,0,TMEM63A
DEXI,4.12599838585402e-20,0.300887938107271,0.811,0.567,8.0919080343369e-16,0,DEXI
MRPS25,4.4278168290094e-20,0.394200198766385,0.933,0.668,8.68383436505324e-16,0,MRPS25
PTRH2,4.43262576591514e-20,0.571312978332739,0.687,0.437,8.69326565211277e-16,0,PTRH2
CBR1,4.59620019941951e-20,0.334328789938601,0.865,0.615,9.01406783110154e-16,0,CBR1
DHX29,4.74377785064823e-20,0.362116893788042,0.876,0.615,9.30349712069131e-16,0,DHX29
GALNT7,5.33817785009773e-20,0.49316269713419,0.787,0.499,1.04692343996117e-15,0,GALNT7
UNG,6.74024709348828e-20,0.332531866305942,0.655,0.389,1.32189725997492e-15,0,UNG
TCF7L2,7.12300997793883e-20,0.474366699614557,0.879,0.619,1.39696471687336e-15,0,TCF7L2
IGSF8,7.49732773808627e-20,0.596396826017665,0.811,0.557,1.47037591599348e-15,0,IGSF8
CAPZB,8.7880731490719e-20,0.326108763998747,0.978,0.741,1.72351690599598e-15,0,CAPZB
TIMM50,1.08022342097136e-19,0.386613153081581,0.795,0.516,2.11853417320902e-15,0,TIMM50
MDFI,1.28569504878118e-19,0.411453878644637,0.776,0.524,2.52150512966966e-15,0,MDFI
DCPS,1.32922851034488e-19,0.314184694502913,0.814,0.585,2.60688295448838e-15,0,DCPS
ABHD16A,1.33257171299123e-19,0.303138766508267,0.811,0.551,2.6134396435184e-15,0,ABHD16A
MT-CO2,1.36871622957438e-19,0.382850205867793,1,0.992,2.68432626944128e-15,0,MT-CO2
TXNIP,1.69841249166809e-19,0.361685300893469,0.892,0.644,3.33092657865945e-15,0,TXNIP
RAB5C,1.8454735466834e-19,0.395164159421724,0.916,0.676,3.61934271975549e-15,0,RAB5C
CCNQ,1.90550829381056e-19,0.295083462625881,0.935,0.679,3.73708286582128e-15,0,CCNQ
OSGEP,2.07495552745967e-19,0.530023434896729,0.817,0.533,4.0694027804539e-15,0,OSGEP
ARF3,2.11114573779181e-19,0.4868426830242,0.838,0.593,4.1403790209573e-15,0,ARF3
PMM2,2.59556096791098e-19,0.591373743193673,0.825,0.563,5.09041417026701e-15,0,PMM2
NFIB,2.68589398961544e-19,0.292754048949599,0.995,0.79,5.2675752924338e-15,0,NFIB
PLEKHB1,2.79994287827653e-19,0.43242308287312,0.757,0.506,5.49124797287594e-15,0,PLEKHB1
ELF5,2.90786635496415e-19,0.32610123668091,0.989,0.791,5.70290749535568e-15,0,ELF5
BOLA1,3.05184687339212e-19,0.259869676489005,0.946,0.701,5.98528208809663e-15,0,BOLA1
EMC6,3.0600027794381e-19,0.31850068333872,0.981,0.748,6.001277451034e-15,0,EMC6
POR,3.08714160396226e-19,0.419944410908277,0.911,0.655,6.05450211369078e-15,0,POR
COA4,3.35824830577152e-19,0.292801109255138,0.925,0.668,6.58619657727911e-15,0,COA4
SMIM4,3.39057314357085e-19,0.514218691044086,0.73,0.471,6.64959204917115e-15,0,SMIM4
OAF,3.57865726435299e-19,0.439989872009168,0.779,0.493,7.01846262684908e-15,0,OAF
PIGC,3.86705900623439e-19,0.268693730651702,0.881,0.629,7.58407612302689e-15,0,PIGC
GLRX3,4.29212309047721e-19,0.279291816214999,0.962,0.72,8.41771180504391e-15,0,GLRX3
FRMD4A,5.03176773199346e-19,0.540491641472938,0.66,0.408,9.86830287598558e-15,0,FRMD4A
GTPBP3,5.50451631520343e-19,0.333710606288544,0.752,0.471,1.0795457397377e-14,0,GTPBP3
C1orf131,5.61899760883684e-19,0.379406493890104,0.892,0.624,1.10199781104508e-14,0,C1orf131
PSMD1,5.71354644748703e-19,0.327265107825757,0.951,0.7,1.12054072928116e-14,0,PSMD1
MRAS,5.86830064798777e-19,0.388302997369771,0.9,0.648,1.15089112308336e-14,0,MRAS
DBI,6.46484380892548e-19,0.279217772841797,1,0.92,1.26788516780646e-14,0,DBI
ZFPM1,6.50761412167847e-19,0.30120896000248,0.795,0.537,1.27627328154358e-14,0,ZFPM1
NEU1,6.92383709699929e-19,0.344705756259928,0.884,0.613,1.3579029314635e-14,0,NEU1
FAM174C,7.22102781358286e-19,0.306029052276584,0.978,0.725,1.41618797479987e-14,0,FAM174C
COA3,7.6766591144816e-19,0.351691864433222,0.987,0.757,1.50554638553213e-14,0,COA3
PRDX4,7.85280753930119e-19,0.275137845000152,1,0.83,1.54009261460775e-14,0,PRDX4
DNTTIP1,7.87615757889439e-19,0.317557211689752,0.865,0.58,1.54467202437277e-14,0,DNTTIP1
DHCR7,1.1024483086197e-18,0.397523601803356,0.86,0.596,2.16212162286496e-14,0,DHCR7
BOP1,1.1957891318117e-18,0.373856089904229,0.873,0.602,2.34518164530911e-14,0,BOP1
LSM1,1.24439343748473e-18,0.351258123204707,0.906,0.657,2.44050440959505e-14,0,LSM1
QPRT,1.28396820339098e-18,0.303053418866829,0.927,0.687,2.51811844049039e-14,0,QPRT
ZNF622,1.4524058763673e-18,0.577859353264235,0.698,0.427,2.84845840473154e-14,0,ZNF622
CHI3L1,1.47382672230213e-18,0.498019822314275,0.598,0.337,2.89046896777893e-14,0,CHI3L1
CERS4,1.53219526952861e-18,0.438834560515916,0.79,0.551,3.0049413625995e-14,0,CERS4
ATP6V0D1,1.79293111064503e-18,0.341165062620153,0.86,0.607,3.51629649419703e-14,0,ATP6V0D1
USP10,1.8069093745427e-18,0.3931088095199,0.9,0.646,3.54371066535315e-14,0,USP10
ROCR,1.97083096685303e-18,0.329113191580557,0.765,0.509,3.86519369219216e-14,0,ROCR
RIOK1,2.54098662440624e-18,0.350063855036553,0.906,0.649,4.98338296778551e-14,0,RIOK1
TMBIM4,2.87261513559195e-18,0.2889788022221,0.97,0.732,5.63377280392293e-14,0,TMBIM4
TARDBP,3.04959739317935e-18,0.279299687408453,0.865,0.583,5.98087040750335e-14,0,TARDBP
EEF2KMT,3.3786360435396e-18,0.268751109663126,0.628,0.384,6.62618100858987e-14,0,EEF2KMT
ILKAP,3.60682122193808e-18,0.521195418609079,0.784,0.512,7.07369778046495e-14,0,ILKAP
ARHGAP45,3.70968668288006e-18,0.837368597702481,0.523,0.285,7.27543752246437e-14,0,ARHGAP45
